Rk, Player, Tm, Opp, MP, FG, FGA, FG%, 3P, 3PA, 3P%, FT, FTA, FT%, ORB, DRB, TRB, AST, STL, BLK, TOV, PF, PTS, +/-, GmSc
1,Giannis Antetokounmpo,MIL,NYK,41:50,10,17,.588,0,1,.000,13,16,.813,3,16,19,7,3,2,6,2,33,-6,33.3
2,Gordon Hayward,BOS,MIN,29:46,8,16,.500,4,5,.800,10,10,1.000,3,6,9,8,2,0,2,0,30,+14,31.5
3,Kawhi Leonard,TOR,CLE,36:50,11,21,.524,3,9,.333,9,9,1.000,1,8,9,2,1,2,1,2,34,+28,28.8
4,Eric Bledsoe,MIL,NYK,36:38,11,18,.611,3,6,.500,2,2,1.000,3,2,5,7,2,0,2,2,27,-1,25.6
5,Zach LaVine,CHI,HOU,34:53,11,17,.647,2,5,.400,5,5,1.000,1,3,4,3,2,2,2,3,29,-13,25.4
6,John Wall,WAS,BRK,36:55,12,24,.500,3,6,.500,3,5,.600,0,5,5,9,1,0,2,1,30,+14,23.6
7,Kevin Durant,GSW,DET,40:03,9,19,.474,1,7,.143,9,9,1.000,0,6,6,7,0,2,2,3,28,-5,23.2
8,James Harden,HOU,CHI,30:22,9,16,.563,6,11,.545,6,7,.857,0,6,6,7,1,1,7,1,30,+11,23.0
9,Emmanuel Mudiay,NYK,MIL,35:45,10,18,.556,4,5,.800,4,5,.800,0,3,3,7,1,0,3,2,28,-3,22.0
10,Damyean Dotson,NYK,MIL,33:22,7,9,.778,5,5,1.000,2,2,1.000,1,4,5,1,1,0,0,1,21,+15,20.7
11,Malcolm Brogdon,MIL,NYK,36:46,9,12,.750,4,5,.800,0,0,,2,4,6,4,1,0,2,4,22,-26,20.0
12,Markieff Morris,WAS,BRK,28:31,9,12,.750,2,4,.500,0,0,,0,7,7,2,3,2,2,3,20,+17,19.9
13,Tristan Thompson,CLE,TOR,39:45,6,15,.400,0,0,,6,6,1.000,7,12,19,3,1,0,0,5,18,+2,19.5
14,Derrick Rose,MIN,BOS,29:25,11,18,.611,2,3,.667,2,2,1.000,0,0,0,4,1,0,3,1,26,-13,18.2
15,Bogdan Bogdanović,SAC,IND,31:22,7,12,.583,3,6,.500,3,3,1.000,0,2,2,6,2,0,3,1,20,+7,17.8
16,Kevin Knox,NYK,MIL,36:49,9,20,.450,5,12,.417,3,5,.600,0,4,4,4,1,1,2,3,26,+5,17.3
17,Clint Capela,HOU,CHI,32:46,7,11,.636,0,0,,4,7,.571,2,13,15,0,0,1,0,2,18,+12,17.1
18,Blake Griffin,DET,GSW,34:10,9,22,.409,2,9,.222,6,6,1.000,0,6,6,5,0,0,2,1,26,+3,17.1
19,Bojan Bogdanović,IND,SAC,37:06,10,19,.526,2,6,.333,5,6,.833,0,3,3,0,2,0,3,1,27,+4,16.8
20,Jabari Parker,CHI,HOU,32:14,8,15,.533,1,3,.333,4,5,.800,2,10,12,2,1,1,4,2,21,-12,16.0
21,Willie Cauley-Stein,SAC,IND,33:33,8,13,.615,0,0,,1,4,.250,6,7,13,3,1,0,3,2,17,-5,15.5
22,Myles Turner,IND,SAC,31:42,6,10,.600,0,2,.000,2,3,.667,1,11,12,4,0,3,2,2,14,+9,15.1
23,Kyrie Irving,BOS,MIN,34:45,6,15,.400,2,8,.250,7,7,1.000,0,3,3,9,0,0,4,3,21,+12,14.9
24,Robert Covington,MIN,BOS,38:18,4,11,.364,2,7,.286,7,7,1.000,1,9,10,0,4,0,2,4,17,-4,14.7
25,Andre Drummond,DET,GSW,33:29,7,14,.500,0,2,.000,2,8,.250,8,11,19,0,3,2,4,3,16,+1,14.7
26,Klay Thompson,GSW,DET,35:52,10,20,.500,1,5,.200,0,0,,0,8,8,1,2,0,1,1,21,+3,14.7
27,Darren Collison,IND,SAC,33:48,3,8,.375,2,3,.667,3,3,1.000,1,3,4,12,6,0,6,5,11,+13,14.6
28,Chris Paul,HOU,CHI,31:08,4,11,.364,2,7,.286,2,2,1.000,1,2,3,13,2,1,4,1,12,+14,14.6
29,Karl-Anthony Towns,MIN,BOS,37:36,6,15,.400,2,6,.333,6,6,1.000,2,7,9,1,1,1,2,4,20,-12,14.2
30,Danny Green,TOR,CLE,31:37,6,9,.667,3,5,.600,0,0,,2,5,7,0,0,2,1,2,15,+24,13.6
31,Stephen Curry,GSW,DET,36:30,10,21,.476,3,9,.333,4,4,1.000,0,5,5,3,2,0,7,4,27,-8,13.3
32,Reggie Jackson,DET,GSW,26:30,6,12,.500,2,4,.500,3,3,1.000,1,1,2,5,1,0,2,3,17,+6,13.3
33,Jayson Tatum,BOS,MIN,35:19,7,15,.467,3,9,.333,2,2,1.000,0,9,9,2,1,0,2,3,19,-3,13.2
34,Stanley Johnson,DET,GSW,22:34,8,16,.500,3,7,.429,0,0,,3,4,7,2,0,0,1,4,19,+8,13.1
35,Noah Vonleh,NYK,MIL,35:04,6,6,1.000,3,3,1.000,0,0,,0,5,5,1,1,0,2,6,15,-4,12.0
36,Bradley Beal,WAS,BRK,42:32,8,17,.471,0,3,.000,6,7,.857,0,3,3,0,0,1,2,2,22,+13,11.7
37,Thaddeus Young,IND,SAC,25:26,6,8,.750,0,0,,2,3,.667,2,2,4,1,1,0,2,2,14,-1,11.3
38,Tim Hardaway,NYK,MIL,47:05,8,22,.364,3,8,.375,2,4,.500,0,4,4,8,0,0,3,2,21,+10,11.0
39,Jordan Clarkson,CLE,TOR,29:01,7,17,.412,1,6,.167,3,3,1.000,2,0,2,2,1,0,1,2,18,-5,10.9
40,Buddy Hield,SAC,IND,34:28,6,16,.375,2,9,.222,4,4,1.000,1,4,5,4,0,0,2,3,18,+3,10.7
41,Andrew Wiggins,MIN,BOS,32:53,5,12,.417,2,5,.400,5,6,.833,0,2,2,3,0,0,2,1,17,-6,10.5
42,Allen Crabbe,BRK,WAS,32:45,5,10,.500,3,5,.600,1,1,1.000,0,2,2,0,2,0,0,3,14,-10,10.4
43,Gerald Green,HOU,CHI,17:02,4,5,.800,2,3,.667,0,0,,0,4,4,0,1,1,0,2,10,+15,10.2
44,P.J. Tucker,HOU,CHI,30:46,4,8,.500,2,5,.400,1,1,1.000,1,5,6,1,1,0,0,2,11,+10,10.1
45,Fred VanVleet,TOR,CLE,33:00,5,12,.417,1,4,.250,4,4,1.000,0,3,3,4,1,0,2,3,15,+14,10.1
46,Al Horford,BOS,MIN,32:16,7,11,.636,1,4,.250,0,0,,0,3,3,2,0,1,2,3,15,+3,9.9
